Year,Winner,Score_w,Runner_up,Score_r,Venue,Attendance,Reason_not_played,Year_Date,Total_Wins,Centroid_x,Centroid_y
1887,Limerick,1–4,Louth,0–3,Donnybrook,"7,000",,1887-01-01,1,-8.74969,52.49583
1888,,,,,,,Championship unfinished the GAA committee and players travelled to the USA to promote the game abroad,1888-01-01,0,-8.74969,52.49583
1889,Tipperary,3–6,Laois,0–0,Inchicore,"1,500",,1889-01-01,1,-8.35382,52.56957
1890,Cork,2–4,Wexford,0–1,Clonturk,"1,000",,1890-01-01,1,-8.514213333,52.35200333
1891,Dublin,2–1,Cork,1–9,Clonturk,"2,000",,1891-01-01,1,-7.9566425,52.6120675
1892,Dublin,1–4,Kerry,0–3,Clonturk,"5,000",,1892-01-01,2,-7.6221,52.768106
1893,Wexford,1–1,Cork,0–1,Phoenix Park,"1,000",,1893-01-01,1,-7.44698,52.71667333
1894,Dublin,0–5,Cork,1–2,Thurles,"10,000",,1894-01-01,3,-7.28083,52.81318571
1895,Tipperary,0–4,Meath,0–3,Jones' Road,"8,000",,1895-01-01,2,-7.36547,52.79195125
1896,Limerick,1–5,Dublin,0–7,Jones' Road,"3,500",,1896-01-01,2,-7.519272222,52.75904889
1897,Dublin,2–6,Cork,0–2,Jones' Road,"4,000",,1897-01-01,4,-7.395738,52.82237
1898,Dublin,2–8,Waterford,0–4,Tipperary,"1,000",,1898-01-01,5,-7.294664545,52.87417818
1899,Dublin,1–10,Cork,0–6,Jones' Road,"2,000",,1899-01-01,6,-7.210436667,52.91735167
1900,Tipperary,3–7,London,0–2,Jones' Road,"2,000",,1900-01-01,3,-7.267937692,52.89627154
1901,Dublin,0–14,London,0–2,Jones' Road,"2,000",,1901-01-01,7,-7.197651429,52.93169929
1902,Dublin,2–8,London,0–4,Cork,"10,000",,1902-01-01,8,-7.136736667,52.96240333
1903,Kerry,0–11,London,0–3,Jones' Road,"10,000",,1903-01-01,1,-7.29832375,52.90971813
1904,Kerry,0–5,Dublin,0–2,Cork,"10,000",,1904-01-01,2,-7.440900588,52.86323118
1905,Kildare,1–7,Kerry,0–5,Thurles,"15,000",,1905-01-01,1,-7.406323333,52.88141944
1906,Dublin,0–5,Cork,0–4,"Geraldine Park, Athy","8,000",,1906-01-01,9,-7.34725,52.90830579
1907,Dublin,0–6,Cork,0–2,Tipperary,"5,000",,1907-01-01,10,-7.294084,52.9325035
1908,Dublin,1–10,London,0–4,Jones' Road,"10,000",,1908-01-01,11,-7.245981429,52.95439667
1909,Kerry,1–9,Louth,0–6,Jones' Road,"16,000",,1909-01-01,3,-7.358533636,52.91644409
1910,Louth,W/O,Kerry,Scratch,Jones' Road,,,1910-01-01,1,-7.317469565,52.95962478
1911,Cork,6–6,Antrim,1–2,Jones' Road,"11,000",,1911-01-01,2,-7.3807,52.91617667
1912,Louth,1–7,Antrim,1–2,Jones' Road,"13,000",,1912-01-01,2,-7.3420344,52.9559136
1913,Kerry,2–2,Wexford,0–3,Croke Park,"17,000",,1913-01-01,4,-7.433576538,52.92374154
1914,Kerry,2–3,Wexford,0–6,Croke Park,"20,000",,1914-01-01,5,-7.518337778,52.89395259
1915,Wexford,2–4,Kerry,2–1,Croke Park,"27,000",,1915-01-01,2,-7.484517857,52.87843679
1916,Wexford,3–4,Mayo,1–2,Croke Park,"3,000",,1916-01-01,3,-7.453030345,52.86399103
1917,Wexford,0–9,Clare,0–5,Croke Park,"6,500",,1917-01-01,4,-7.423642,52.85050833
1918,Wexford,0–5,Tipperary,0–4,Croke Park,"12,000",,1918-01-01,5,-7.396149677,52.83789548
1919,Kildare,2–5,Galway,0–1,Croke Park,"32,000",,1919-01-01,2,-7.378098438,52.84891813
1920,Tipperary,1–6,Dublin,1–2,Croke Park,"17,000",,1920-01-01,4,-7.395669697,52.84268758
1921,Dublin,1–9,Mayo,0–2,Croke Park,"16,000",,1921-01-01,12,-7.362971471,52.85885147
1922,Dublin,0–6,Galway,0–4,Croke Park,"11,792",,1922-01-01,13,-7.332141714,52.87409171
1923,Dublin,1–5,Kerry,1–3,Croke Park,"18,500",,1923-01-01,14,-7.303024722,52.88848528
1924,Kerry,0–4,Dublin,0–3,Croke Park,"28,844",,1924-01-01,6,-7.368405946,52.86770027
1925,Galway,3–2,Cavan,1–2,Croke Park,,,1925-01-01,1,-7.410121842,52.88072789
1926,Kerry,1–4,Kildare,0–4,Croke Park,"35,500",,1926-01-01,7,-7.469404103,52.86120769
1927,Kildare,0–5,Kerry,0–3,Croke Park,"36,529",,1927-01-01,3,-7.45313175,52.869443
1928,Kildare,2–6,Cavan,2–5,Croke Park,"24,700",,1928-01-01,4,-7.437653171,52.87727659
1929,Kerry,1–8,Kildare,1–5,Croke Park,"43,839",,1929-01-01,8,-7.492045476,52.85923286
1930,Kerry,3–11,Monaghan,0–2,Croke Park,"33,280",,1930-01-01,9,-7.543907907,52.84202837
1931,Kerry,1–11,Kildare,0–8,Croke Park,"42,350",,1931-01-01,10,-7.593412955,52.82560591
1932,Kerry,2–7,Mayo,2–4,Croke Park,"25,816",,1932-01-01,11,-7.640717778,52.80991333
1933,Cavan,2–5,Galway,1–4,Croke Park,"45,188",,1933-01-01,1,-7.63444913,52.83567348
1934,Galway,3–5,Dublin,1–9,Croke Park,"36,143",,1934-01-01,2,-7.662516383,52.84688787
1935,Cavan,3–6,Kildare,2–5,Croke Park,"50,380",,1935-01-01,2,-7.656054792,52.87080438
1936,Mayo,4–11,Laois,0–5,Croke Park,"50,168",,1936-01-01,1,-7.691346327,52.89230449
1937,Kerry,4–4,Cavan,1–7,Croke Park,"51,234",,1937-01-01,12,-7.731962,52.8768472
